Status,Titre,Détails,Auteurs,Publication,Pages,Domaine,Langue,Maison d'édition,Format,Acheté chez,Date de l'ajout,Auteur 1,Etat,Auteur,Genre,Naissance,Mort,Pays,Pays 2,Continent,Country,Code
o,"diable l'emporte, Le ",0,"Barjavel, René",1948.0,336,Roman,Français,Gallimard,epub,Chapitre,2015-03-22,"Barjavel, René",m,"Barjavel, René",M,1911.0,1985.0,France,,Europe,France,FRA
o,"Enchanteur, L'",0,"Barjavel, René",1984.0,480,Roman,Français,Gallimard,epub,Feedbooks,2014-11-09,"Barjavel, René",m,"Barjavel, René",M,1911.0,1985.0,France,,Europe,France,FRA
o,Ravage,0,"Barjavel, René",1943.0,320,Roman,Français,Gallimard,epub,Feedbooks,2014-06-27,"Barjavel, René",m,"Barjavel, René",M,1911.0,1985.0,France,,Europe,France,FRA
o,"rose au paradis, Une ",0,"Barjavel, René",1981.0,224,Roman,Français,Pocket,Introuvable,Z-Lib,2014-02-28,"Barjavel, René",m,"Barjavel, René",M,1911.0,1985.0,France,,Europe,France,FRA
0,"Animated Man: A Life of Walt Disney, The",0,"Barrier, Michael",0.0,697,"Biographie, Cinéma",Anglais,University of California Press,Prêt,Scribd,2021-02-07,"Barrier, Michael",o,"Barrier, Michael",M,1940.0,,États-Unis,,Amérique,United States,USA
o,"Book of Nothing, The ","Vacuums, Voids, and the Latest Ideas about the Origins of the Universe","Barrow, John D.",2000.0,384,Physique,Anglais,Vintage,Papier,Librairie,2014-02-28,"Barrow, John D.",m,"Barrow, John D.",M,1952.0,2020.0,Royaume-Uni,,Europe,United Kingdom,GBR
o,"Fleurs du Mal, Les",0,"Baudelaire, Charles",1857.0,371,Poésie,Français,Bibebook,Aucun,Aucun,2022-04-24,"Baudelaire, Charles",m,"Baudelaire, Charles",M,1821.0,1867.0,France,,Europe,France,FRA
o,"Spleen de Paris, Le",0,"Baudelaire, Charles",1859.0,131,Poésie,Français,Bibebook,Aucun,Aucun,2022-04-24,"Baudelaire, Charles",m,"Baudelaire, Charles",M,1821.0,1867.0,France,,Europe,France,FRA
0,"Paradis artificiels, Les",0,"Baudelaire, Charles",0.0,288,Poésie,Français,Gallimard,Néant,Néant,2014-02-28,"Baudelaire, Charles",m,"Baudelaire, Charles",M,1821.0,1867.0,France,,Europe,France,FRA
o,En attendant Godot,0,"Beckett, Samuel",1952.0,127,Théâtre,Français,Éditions de Minuit,epub,Google Play,2022-05-14,"Beckett, Samuel",m,"Beckett, Samuel",M,1906.0,1989.0,Irlande,,Europe,Ireland,IRL
o,Fin de partie,0,"Beckett, Samuel",1957.0,112,Théâtre,Français,Éditions de Minuit,epub,Google Play,2022-05-14,"Beckett, Samuel",m,"Beckett, Samuel",M,1906.0,1989.0,Irlande,,Europe,Ireland,IRL
o,"Oh les beaux jours, suivi de Pas moi",Oh les beaux jours; Pas moi,"Beckett, Samuel",1975.0,97,Théâtre,Français,Éditions de Minuit,epub,Google Play,2022-05-14,"Beckett, Samuel",m,"Beckett, Samuel",M,1906.0,1989.0,Irlande,,Europe,Ireland,IRL
o,"Israël, la terre et le sacré",0,"Benbassa, Esther & Attias, Jean-Christophe",1998.0,391,"Histoire, Israël",Français,Flammarion,Papier,Librairie,2014-02-28,"Benbassa, Esther",o,"Benbassa, Esther",F,1950.0,,Turquie,Israël,Asie,Turkey,TUR
o,"inquisition espagnole, L'",XV - XIX siècles,"Bennassar, Bartolomé",1979.0,381,"Histoire, Religion",Français,Hachette,Papier,Librairie,2014-02-28,"Bennassar, Bartolomé",m,"Bennassar, Bartolomé",M,1929.0,2018.0,France,,Europe,France,FRA
o,FBI: histoire d'un empire,0,"Berlioz-Curlet, Jacques",2005.0,619,"Histoire, Police, États-Unis",Français,Archipoche,Papier,Librairie,2021-07-15,"Berlioz-Curlet, Jacques",o,"Berlioz-Curlet, Jacques",M,1946.0,,France,,Europe,France,FRA
o,All the President's Men,0,"Bernstein, Carl & Woodward, Bob",1974.0,352,"Histoire, Politique, XX, États-Unis",Anglais,Simon & Schuster,epub,OrellFluessi,2018-07-07,"Bernstein, Carl",o,"Bernstein, Carl",M,1944.0,,États-Unis,,Amérique,United States,USA
o,Dumas et les trois mousquetaires,0,"Bertière, Simone",2009.0,352,"Biographie, Littérature, XIX, France",Français,Livre de Poche,Papier,Librairie,2014-02-28,"Bertière, Simone",o,"Bertière, Simone",F,1926.0,,France,,Europe,France,FRA
o,We Had to Remove This Post,0,"Bervoets, Hanna",2022.0,121,Roman,Anglais,HarperCollins,epub,OrellFluessi,2022-06-02,"Bervoets, Hanna",o,"Bervoets, Hanna",M,1984.0,,Pays-Bas,,Europe,Netherlands,NLD
o,Charles Mingus,0,"Béthune, Christian",1988.0,212,"Biographie, Musique, XX, États-Unis",Français,Limon,Papier,Librairie,2014-02-28,"Béthune, Christian",c,"Béthune, Christian",M,1950.0,,France,,Europe,France,FRA
o,"âge des Low Tech, L'",Vers une civilisation techniquement soutenable,"Bihouix, Philippe",2014.0,294,Sociologie; Technologies,Français,Points,Papier,Librairie,2022-01-22,"Bihouix, Philippe",o,"Bihouix, Philippe",M,1971.0,,France,,Europe,France,FRA
0,"Weather Machine: A Journey Inside the Forecast, The",0,"Blum, Andrew",2020.0,224,Science de la Terre,Anglais,HarperCollins,Prêt,Scribd,2021-01-18,"Blum, Andrew",c,"Blum, Andrew",M,1975.0,,États-Unis,,Amérique,United States,USA
o,Voyage au centre de la Chine,0,"Bobin, Frédéric",2007.0,365,"Récit, XX, Chine",Français,Philippe Picquier,Papier,Librairie,2014-02-28,"Bobin, Frédéric",o,"Bobin, Frédéric",M,1960.0,,France,,Europe,France,FRA
o,"Décaméron, Le ",0,"Boccaccio, Giovanni",1353.0,974,Nouvelle,Français,Éditions Pulsio,epub,Google Play,2022-03-18,"Boccaccio, Giovanni",m,"Boccaccio, Giovanni",M,1313.0,1375.0,Italie,,Europe,Italy,ITA
o,Nicht nur zur Weihnachtszeit,0,"Böll, Heinrich",1952.0,33,Nouvelle,Allemand,Kiepenheuer & Witsch,epub,OrellFluessi,2022-05-29,"Böll, Heinrich",m,"Böll, Heinrich",M,1917.0,1985.0,Allemagne,,Europe,Germany,DEU
o,Ansichten eines Clowns,0,"Böll, Heinrich",1963.0,288,Roman,Allemand,Kiepenheuer & Witsch,epub,Weltbild,2017-10-15,"Böll, Heinrich",m,"Böll, Heinrich",M,1917.0,1985.0,Allemagne,,Europe,Germany,DEU
o,Irisches Tagebuch,0,"Böll, Heinrich",1957.0,144,Récit,Allemand,Kiepenheuer & Witsch,epub,Weltbild,2017-10-15,"Böll, Heinrich",m,"Böll, Heinrich",M,1917.0,1985.0,Allemagne,,Europe,Germany,DEU
o,"verlorene Ehre der Katharina Blum, Die ",0,"Böll, Heinrich",1974.0,160,Roman,Allemand,Kiepenheuer & Witsch,epub,Weltbild,2017-10-15,"Böll, Heinrich",m,"Böll, Heinrich",M,1917.0,1985.0,Allemagne,,Europe,Germany,DEU
o,Heinrich Böll,0,"Böll, Viktor & Schubert, Jochen",2002.0,192,"Biographie, Littérature, XX, Allemagne",Allemand,Dtv,Papier,Librairie,2014-02-28,"Böll, Viktor",m,"Böll, Viktor",M,1948.0,2009.0,Allemagne,,Europe,Germany,DEU
o,"histoire des haines d'écrivains, Une",De Chateaubriand à Proust,"Boquel, Anne & Kern, Étienne",2009.0,325,"Littérature, Sociologie",Français,Flammarion,Papier,Librairie,2022-05-28,"Boquel, Anne",c,"Boquel, Anne",F,1970.0,,France,,Europe,France,FRA
o,Coeur de chien,0,"Boulgakov, Mikhaïl",1925.0,157,Roman,Français,Livre de Poche,epub,Google Play,2019-07-20,"Boulgakov, Mikhaïl",m,"Boulgakov, Mikhaïl",M,1891.0,1940.0,Russie,,Europe,Russia,RUS
0,Adam et Eve,0,"Boulgakov, Mikhaïl",1931.0,102,Nouvelle,Français,Actes Sud,Néant,Néant,2014-02-28,"Boulgakov, Mikhaïl",m,"Boulgakov, Mikhaïl",M,1891.0,1940.0,Russie,,Europe,Russia,RUS
o,"maître et Marguerite, Le ",0,"Boulgakov, Mikhaïl",1940.0,581,Roman,Français,Pocket,Papier,Librairie,2014-02-28,"Boulgakov, Mikhaïl",m,"Boulgakov, Mikhaïl",M,1891.0,1940.0,Russie,,Europe,Russia,RUS
0,"oeufs fatidiques, Les",0,"Boulgakov, Mikhaïl",1925.0,223,Roman,Français,Livre de Poche,Néant,Néant,2014-02-28,"Boulgakov, Mikhaïl",m,"Boulgakov, Mikhaïl",M,1891.0,1940.0,Russie,,Europe,Russia,RUS
0,"roman de monsieur de Molière, Le ",0,"Boulgakov, Mikhaïl",1933.0,283,Roman,Français,Gallimard,Néant,Néant,2014-02-28,"Boulgakov, Mikhaïl",m,"Boulgakov, Mikhaïl",M,1891.0,1940.0,Russie,,Europe,Russia,RUS
0,"roman theatral, Le ",0,"Boulgakov, Mikhaïl",1937.0,256,Roman,Français,Éditions 10/18,Néant,Néant,2014-02-28,"Boulgakov, Mikhaïl",m,"Boulgakov, Mikhaïl",M,1891.0,1940.0,Russie,,Europe,Russia,RUS
o,"grands discours du XXe siècle, Les",0,"Boutin, Christophe",2009.0,362,"Histoire, XX",Français,Flammarion,Papier,Librairie,2017-03-19,"Boutin, Christophe",o,"Boutin, Christophe",M,1959.0,,France,,Europe,France,FRA
o,"Adventure of English, The ",0,"Bragg, Melvyn",2003.0,368,Linguistique,Anglais,Sceptre,Papier,Librairie,2014-02-28,"Bragg, Melvyn",o,"Bragg, Melvyn",M,1939.0,,Royaume-Uni,,Europe,United Kingdom,GBR
o,Léonard de Vinci,0,"Bramly, Serge",1998.0,669,"Biographie, Science, XV, Italie",Français,Livre de Poche,Papier,Librairie,2018-09-28,"Bramly, Serge",o,"Bramly, Serge",M,1949.0,,France,,Europe,France,FRA
o,Utopies réalistes,0,"Bregman, Rutger",2017.0,330,Sociologie,Français,Points,Papier,Librairie,2021-06-19,"Bregman, Rutger",o,"Bregman, Rutger",M,1988.0,,Pays-Bas,,Europe,Netherlands,NLD
o,Nadja,0,"Breton, André",1928.0,192,Roman,Français,Gallimard,epub,Google Play,2022-02-19,"Breton, André",m,"Breton, André",M,1896.0,1966.0,France,,Europe,France,FRA
0,Clair de terre,0,"Breton, André",1923.0,194,Poésie,Français,Flammarion,Néant,Néant,2014-02-28,"Breton, André",m,"Breton, André",M,1896.0,1966.0,France,,Europe,France,FRA
0,Signe ascendant,0,"Breton, André",1947.0,0,Poésie,Français,Gallimard,Néant,Néant,2014-02-28,"Breton, André",m,"Breton, André",M,1896.0,1966.0,France,,Europe,France,FRA
o,Charles le Téméraire,0,"Brion, Marcel",1947.0,288,"Biographie, Politique, XV, France",Français,Tallandier,epub,Chapitre,2015-04-18,"Brion, Marcel",m,"Brion, Marcel",M,1895.0,1984.0,France,,Europe,France,FRA
o,"Borgia, Les",Le Pape et le Prince,"Brion, Marcel",1953.0,326,"Biographie, Politique, XV, XVI, Italie",Français,Tallandier,Papier,Librairie,2014-02-28,"Brion, Marcel",m,"Brion, Marcel",M,1895.0,1984.0,France,,Europe,France,FRA
o,Kerouac,0,"Buin, Yves",2006.0,353,"Biographie, Littérature, XX, États-Unis",Français,Gallimard,Papier,Librairie,2014-02-28,"Buin, Yves",o,"Buin, Yves",M,1938.0,,France,,Europe,France,FRA
0,"crollo della Baliverna, Il",0,"Buzzati, Dino",0.0,352,Nouvelle,Italien,Mondadori,epub,Kobo,2021-04-04,"Buzzati, Dino",m,"Buzzati, Dino",M,1906.0,1972.0,Italie,,Europe,Italy,ITA
0,"famosa invasione degli orsi in Sicilia, La ",0,"Buzzati, Dino",0.0,65,Conte,Italien,Mondadori,epub,Kobo,2019-08-02,"Buzzati, Dino",m,"Buzzati, Dino",M,1906.0,1972.0,Italie,,Europe,Italy,ITA
0,"colombre, Il",0,"Buzzati, Dino",0.0,330,Nouvelle,Italien,Mondadori,epub,Kobo,2019-05-11,"Buzzati, Dino",m,"Buzzati, Dino",M,1906.0,1972.0,Italie,,Europe,Italy,ITA
0,"deserto dei tartari, Il",0,"Buzzati, Dino",0.0,202,Roman,Italien,Mondadori,Néant,Néant,2014-02-28,"Buzzati, Dino",m,"Buzzati, Dino",M,1906.0,1972.0,Italie,,Europe,Italy,ITA
0,"misteri d'Italia, I",0,"Buzzati, Dino",0.0,180,Conte,Italien,Mondadori,Néant,Néant,2014-02-28,"Buzzati, Dino",m,"Buzzati, Dino",M,1906.0,1972.0,Italie,,Europe,Italy,ITA
